CODIGO;DESCRICAO PRODUTO;P_CUSTO;P_VENDA;%MG_VD;
8734;PEITORAL ELITE STRASS N2 ROSA;23,33;37,4;60,31;
8735;PEITORAL ELITE STRASS N3 ROSA;23,83;38,2;60,3;
8736;PEITORAL ELITE STRASS N4 ROSA;26,98;43,2;60,12;
16685;PEITORAL GG REFLETIVO AZUL/PRETO;29,99;47,99;60,02;
16687;PEITORAL GG REFLETIVO ROSA/PRETO;29,99;47,99;60,02;
4325;PEITORAL LACHER COM GUIA GD ROSA;10;19,9;0;
4324;PEITORAL LACHER COM GUIA GG ROSA;10;19,9;0;
4323;PEITORAL LACHER COM GUIA MD ROSA;10;19,9;0;
4328;PEITORAL LACHER COM GUIA N02 CINZA;10;26;0;
4327;PEITORAL LACHER COM GUIA N04 CINZA;10;27;0;
4326;PEITORAL LACHER COM GUIA N06 CINZA;10;28;0;
4322;PEITORAL LACHER COM GUIA PQ ROSA;10;19,9;0;
3225;PEITORAL LUXO N04 C/GUIA;23,83;38,2;60,3;
8347;PEITORAL LUXO N04 C/GUIA ROSA;23,12;36,99;59,99;
8346;PEITORAL LUXO N04 C/GUIA VERMELHO;23,12;36,99;59,99;
3231;PEITORAL LUXO N05 C/GUIA PRETO;23,12;36,99;59,99;
6852;PEITORAL LUXO N05 C/GUIA ROSA;23,12;36,99;59,99;
7931;PEITORAL LUXO N05 C/GUIA VERMELHO;23,12;36,99;59,99;
3230;PEITORAL LUXO N06 C/GUIA PRETO;24,89;39,99;60,67;
7406;PEITORAL LUXO N06 C/GUIA ROSA;24,89;39,99;60,67;
7932;PEITORAL LUXO N06 C/GUIA VERMELHO;24,89;39,99;60,67;
3232;PEITORAL LUXO N07 C/GUIA PRETO;24,89;39,99;60,67;
6853;PEITORAL LUXO N07 C/GUIA ROSA;25,66;41,1;60,17;
8460;PEITORAL LUXO N07 C/GUIA VERM.;25,66;41,1;60,17;
16686;PEITORAL MD REFLETIVO AZUL/PRETO;27,99;44,99;60,74;
16688;PEITORAL MD REFLETIVO ROSA/PRETO;27,99;44,99;60,74;
14187;PEITORAL NEON LARANJA GD;27,77;46;65,65;
14185;PEITORAL NEON LARANJA MD;27,77;44,7;60,97;
14186;PEITORAL NEON LARANJA PQ;27,77;44,7;60,97;
13672;PEITORAL NEON ROSA GD;27,77;44,7;60,97;
13671;PEITORAL NEON ROSA MD;27,77;46;65,65;
